,,bg,bg,bg,no_bg,no_bg,no_bg
,,A1,tau1,tau2,A1,tau1,tau2
2,21,0.17482647861596745,2.803498987087141,2.8049673003228226,0.4965090346140071,2.793900099396993,2.793467016578453
2,22,0.5008158838052708,2.2812014244479513,3.2108465495652347,0.5014830958178044,2.3016069575901055,3.1768238073450403
2,23,0.4966109146442237,2.4560900782720387,3.041845263389882,0.4969320010130208,2.493786012576081,2.990254379989877
2,24,0.4960747915244913,2.384898654001948,3.1384100341217858,0.4966060987416527,2.4122368890328847,3.097307699796808
2,25,0.48950465652108,2.5575383556154208,3.0014697279480487,0.4893014072931126,2.614688813017641,2.9317783526870955
2,26,0.49530698069011014,2.4754936238964964,3.0334401898440224,0.4955587428278928,2.5160779068760517,2.9790568163592686
2,27,0.488667062829646,2.5415101385715126,3.0320672833337383,0.48863923067228887,2.5904790777164273,2.9705448142948527
2,28,0.4963372482322431,2.38584795617541,3.133968240841737,0.49686614625045145,2.4134442420604487,3.0925697680598456
2,29,0.49749478771368205,2.3450165528833793,3.1712532712823545,0.4980847296136619,2.36884698066804,3.1338583252400283
2,30,0.4973762853857009,2.346307498592193,3.1710862180678503,0.4979713533623415,2.370501042817501,3.133169209273836
2,31,0.4962196053155122,2.4418418490004203,3.0646804034353696,0.49659682807546535,2.4766037492334325,3.0161030314968684
2,32,0.4969114159403192,2.3699390675208045,3.1469738931875333,0.49746750894941233,2.3960703660110627,3.1070900328796354
2,33,0.49742531318376626,2.488046728008981,2.9914109013430945,0.49757602983498833,2.5342340910053855,2.931196937287595
2,34,0.49322361167404705,2.480616617397932,3.0527060364433507,0.4934771424634064,2.5199046931878204,2.99993845055074
2,35,0.4921849330372906,2.459000386017896,3.0928474495017113,0.4925364576376514,2.4934616890519163,3.0449671437620376
2,36,0.7675740001125476,2.771203812146896,2.7718092728487944,0.9969648321440677,2.7603658522121415,2.760108604238326
2,37,0.4962834871866787,2.3961144066594735,3.121662063692225,0.49678924693995447,2.424752856393293,3.0792329616283216
2,38,0.48544173743630303,2.6798848924321637,2.897094252866699,0.48326480637832614,2.781986716745707,2.7826092790707255
2,39,0.5034107471333953,2.268837230175338,3.194409765955004,0.5040959026653654,2.2894316699609436,3.159926728505456
2,40,0.4955451164533278,2.510352154389649,2.986459003237238,0.4955815910206016,2.5612026261470504,2.921765380161815
2,41,0.4890794609949755,2.615365137176934,2.933665902499668,0.48733651246010806,2.734724875505014,2.804402322450812
2,42,0.492260090139581,2.484143489848179,3.0601539547448326,0.4925093653174852,2.5231664205824105,3.0077736706829095
