,,chisqr,redchi,_val,init_value,stderr,correl
0,76,141.51414408063158,1.018087367486558,"['0.728', '2.27', '3.61']","['0.497', '2.43', '3.07']","['1.79', '1.55', '4.84']","[{'tau1': '0.996', 'tau2': '0.996'} {'A1': '0.996', 'tau2': '0.984'}
 {'A1': '0.996', 'tau1': '0.984'}]"
0,77,107.21764255916217,0.7713499464687926,"['0.779', '2.34', '3.5']","['0.497', '2.43', '3.07']","['0.845', '0.616', '2.43']","[{'tau1': '0.978', 'tau2': '0.978'} {'A1': '0.978', 'tau2': '0.914'}
 {'A1': '0.978', 'tau1': '0.914'}]"
0,78,91.2511952404873,0.6660671185437029,"['0.742', '2.29', '3.63']","['0.497', '2.43', '3.07']","['1.95', '1.45', '6.36']","[{'tau1': '0.996', 'tau2': '0.998'} {'A1': '0.996', 'tau2': '0.989'}
 {'A1': '0.998', 'tau1': '0.989'}]"
0,79,138.75151741686767,0.9982123555170336,"['0.152', '0.00752', '2.79']","['0.497', '2.43', '3.07']","['0.0182', '0.101', '0.0527']","[{'tau1': '0.0303', 'tau2': '0.805'} {'A1': '0.0303', 'tau2': '0.0242'}
 {'A1': '0.805', 'tau1': '0.0242'}]"
0,80,109.8015131346792,0.8133445417383645,"['0.151', '0.0531', '2.79']","['0.497', '2.43', '3.07']","['0.0183', '0.0727', '0.0518']","[{'tau1': '0.353', 'tau2': '0.822'} {'A1': '0.353', 'tau2': '0.285'}
 {'A1': '0.822', 'tau1': '0.285'}]"
0,81,101.42631481826433,0.7296857181170096,"['0.822', '2.3', '3.83']","['0.497', '2.43', '3.07']","['0.751', '0.597', '4.02']","[{'tau1': '0.986', 'tau2': '0.991'} {'A1': '0.986', 'tau2': '0.956'}
 {'A1': '0.991', 'tau1': '0.956'}]"
0,82,108.75494403986711,0.7938317083201979,"['0.158', '0.00688', '2.83']","['0.497', '2.43', '3.07']","['0.0164', '0.0397', '0.0492']","[{'tau1': '0.0067', 'tau2': '0.805'} {'A1': '0.0067', 'tau2': '0.00533'}
 {'A1': '0.805', 'tau1': '0.00533'}]"
0,83,125.2074320801336,0.9073002324647362,"['0.819', '2.14', '4.7']","['0.497', '2.43', '3.07']","['0.792', '0.856', '8.57']","[{'tau1': '0.996', 'tau2': '0.998'} {'A1': '0.996', 'tau2': '0.989'}
 {'A1': '0.998', 'tau1': '0.989'}]"
0,84,120.85420494948659,0.86945471186681,"['0.76', '2.29', '3.67']","['0.497', '2.43', '3.07']","['1.34', '1.04', '4.74']","[{'tau1': '0.993', 'tau2': '0.995'} {'A1': '0.993', 'tau2': '0.977'}
 {'A1': '0.995', 'tau1': '0.977'}]"
0,85,100.63150654856193,0.7345365441500871,"['0.16', '0.504', '2.79']","['0.497', '2.43', '3.07']","['0.0377', '0.212', '0.0812']","[{'tau1': '0.796', 'tau2': '0.938'} {'A1': '0.796', 'tau2': '0.696'}
 {'A1': '0.938', 'tau1': '0.696'}]"
