,,no_bg,no_bg,no_bg,no_bg,no_bg,bg,bg,bg,bg,bg,cont,cont,cont,cont,cont,dis,dis,dis,dis,dis,deconv,deconv,deconv,deconv,deconv
,,A1,tau1,tau2,success,nfev,A1,tau1,tau2,success,nfev,A1,tau1,tau2,success,nfev,A1,tau1,tau2,success,nfev,A1,tau1,tau2,success,nfev
0,64,-1.7101393601044965,2.4052896768259675,2.5460456324981604,True,98,0.4517595938883942,2.781619643491855,2.7815561759096137,False,46,0.5090837569387241,2.5434375594118577,2.9266810046789855,True,32,0.33967738645853,2.7717806737897024,2.7709960586449154,False,41,0.497,2.43,3.07,False,17
0,65,-0.07395259415848597,0.8766877459905058,2.7125984629653455,True,81,-0.4727712460916153,2.1185292950011654,2.5899738620179353,True,41,2.0375606047706447,2.7834891672683617,2.825379946370819,False,94,0.41436627448080116,2.774085146494646,2.773783293442905,False,43,0.497,2.43,3.07,False,17
0,66,-0.30012928518827164,1.8888679639742039,2.609307060155444,True,70,0.15872032677058148,2.796060235117038,2.7957542141743663,False,56,0.22326503848542328,2.755296844113076,2.74980382305728,False,55,0.603195406298406,2.7851471552858715,2.785825477506443,False,34,0.497,2.43,3.07,False,17
0,67,0.6516883727027248,2.40025331811367,3.350813292988549,True,25,0.6702942726578006,2.4019632103398485,3.424918408657766,True,27,0.5479744461864058,2.164736193669542,3.294142482984582,True,20,0.5226014595826528,2.304825898341175,3.1939611029079646,True,10,0.5195339062059604,2.3554406485094863,3.2821389875954723,True,17
0,68,-0.5090726696802086,1.9545310145328978,2.5204887485876135,True,56,-1.4180190890562698,2.1939972440831315,2.449559477474141,True,65,1.614688471696336,2.5386349613129195,2.2000783525153986,True,80,0.19915857471128526,2.7603956099928597,2.7595321646281925,False,40,0.497,2.43,3.07,False,17
0,69,0.7177347366699984,2.251272246866041,3.6772689816073054,True,34,0.7268253811209988,2.25418632124971,3.7471431130568273,True,43,0.6018914722687004,2.025369727996021,3.4551591499787873,True,21,0.5646186732807419,2.104003937125414,3.351569249437955,True,11,0.5720422502286799,2.1625421766380173,3.458014459650348,True,30
0,70,0.5101852860058502,2.4300003597224764,3.0718849883849035,True,11,0.5520377720337242,2.4318860158802775,3.1462538217080147,True,13,0.5686121953946378,2.2751036990401374,3.238968597464497,True,57,0.4985040817200633,2.4226464004179538,3.0636824959518862,True,8,0.497,2.43,3.07,False,17
0,71,-0.08312413999586556,2.4145894703259314,2.7719403110125325,True,31,0.08035733350885603,2.4772995657139263,2.837887168102998,True,16,0.5086229017589553,2.4034325107302816,3.103603806231028,True,36,0.7249809928892557,2.7999662105012715,2.799580694253266,False,66,0.497,2.43,3.07,False,17
0,72,0.736357914422995,2.430000144008035,3.324614073570658,True,17,0.6920383677311175,2.3919736566481604,3.3044049327896845,True,13,0.6409324605890545,2.2282388468666428,3.2994234742245325,True,61,0.5238221417587888,2.2988429671192594,3.065026500598037,True,37,0.497,2.43,3.07,False,17
0,73,0.6543615863873529,2.4300002744421136,3.2102917711748997,True,18,0.6428522270260467,2.408170142562296,3.2448884486939815,True,14,0.6091143697766549,2.2429990797748283,3.275214605803181,True,31,0.5145727729020401,2.3439064378964165,3.074235301975708,True,22,0.497,2.43,3.07,False,17
0,74,0.7511322029950146,2.3346611802085726,3.647169291926235,True,23,0.7891649901263852,2.360068157136288,3.832653778560757,True,35,0.5937622186606879,2.077208787565702,3.371818949769623,True,54,0.5510713626254956,2.1656356499659837,3.2568937255160053,True,55,0.497,2.43,3.07,False,17
0,75,0.6716772392585181,2.3977231340540923,3.272655214948719,True,15,0.6956207554068061,2.4008434349112373,3.359860804957167,True,19,0.6227889949605344,2.2188521276876956,3.313394762505152,True,32,0.5237712344653532,2.299097462521558,3.105651690254411,True,33,0.497,2.43,3.07,False,17
0,76,-0.15609663228280063,2.4692227545128578,2.754372989087897,True,38,0.055630293682081645,2.4742779348860444,2.8257198863191104,True,18,0.5117649722049203,2.4078690300715997,3.0979608417989404,True,60,0.6559976975028856,2.7966202885967784,2.796672189761258,False,57,0.497,2.43,3.07,False,17
0,77,0.622351100048856,2.2692086025503944,3.3946249621397904,True,25,0.7550266173025172,2.3700858277703234,3.7388782598190415,True,36,0.5782592039249531,2.096238010199801,3.3816804544071277,True,21,0.5441977834695475,2.199234285473556,3.27979355298509,True,11,0.4698947807749534,2.173557745867748,3.2806476279042474,True,40
0,78,0.6618307438534082,2.436133953560472,3.453780056875587,True,16,0.6744286416263349,2.4349364935289017,3.520876501743858,True,16,0.5601373564741492,2.2004797533594433,3.3887927317948656,True,21,0.5184806845190022,2.3249737528855894,3.265222261368813,True,10,0.49380129047611787,2.3555658209335126,3.332226913246931,True,16
0,79,0.8854648375219435,2.423859411581174,4.63348721515267,True,48,0.703450413735434,2.2530054431013924,3.6753787471161354,True,30,0.611639558201995,2.05593829669333,3.480444771870407,True,45,0.5614991448533396,2.123658229268892,3.3498170066896136,True,42,0.497,2.43,3.07,False,17
0,80,0.5317956457509021,2.4300002572265513,3.095626853341567,True,23,0.5694690035863832,2.4306799193902715,3.170852059849917,True,18,0.5714244038120133,2.268788292225765,3.247142027671478,True,44,0.5009388325537946,2.4107420464400415,3.0730035854610787,True,8,0.497,2.43,3.07,False,17
0,81,0.6011422447261752,2.3033171043521365,3.2938062161873574,True,28,0.5902443171700149,2.282379597612349,3.3150701027956497,True,25,0.5647643877022952,2.1278550266733105,3.31224919171269,True,20,0.534147366437247,2.2483740804155294,3.2109242923326526,True,10,0.7955063278304126,2.503588897197198,3.8172713741285507,True,30
0,82,0.14967964911947046,2.4908748403339587,2.883443666187086,True,19,0.20241418637960265,2.4299999247707698,2.934137566381746,True,14,0.4859830319231471,2.362711405975417,3.155010701033065,True,13,0.4485763716912002,2.666759080382886,2.953374573371163,True,13,0.497,2.43,3.07,False,17
0,83,-0.47639514148663864,1.9375947872050432,2.550879333746227,True,51,-1.302140027205927,2.191387362333349,2.475715993009336,True,34,-0.38154665497397916,2.1015602439012655,2.593008171660785,True,68,0.5152660064375053,2.7900395428344824,2.7918775664526785,False,37,0.497,2.43,3.07,False,17
0,84,0.05572728780878106,2.356811234958563,2.78040816025028,True,33,0.2168597828189657,2.431019680002982,2.856167267649774,True,26,0.5699963018443142,2.3806575327760364,3.1323154123687655,True,27,0.45248359747777456,2.6476413124757148,2.8472263829513227,True,50,0.497,2.43,3.07,False,17
0,85,0.5361808448060099,2.093973961620435,3.3839673131206944,True,30,0.6413254699767688,2.1976643304056314,3.6095463522632394,True,29,0.5886946221431137,2.030655519690474,3.5077752357588343,True,21,0.5607951376093153,2.1205036298839404,3.422199565163199,True,12,0.4928287839640456,2.0896176965205124,3.411230071873895,True,25
0,86,0.16098067130120056,2.7655518133229604,2.7656220174766792,False,55,-0.7834243045370803,2.4229779809705603,2.626330249499184,True,56,0.533025974698671,2.515037651546013,2.962631430718537,True,84,-2.112519555943799,2.702888477742224,2.723222885974596,False,80,0.497,2.43,3.07,False,17
0,87,0.5294109773916954,1.94377164395093,3.3707319425935878,True,46,0.530310332428283,1.936182599537275,3.3970634989143607,True,31,0.6183174629200557,1.9467239728833,3.566640151951487,True,51,0.5830572207548348,2.0092371510306113,3.4677107669709226,True,13,0.497,2.43,3.07,False,17
0,88,-0.27908546498237785,2.4623913395803507,2.755765283332974,True,20,0.05935562821165615,2.843443672552379,2.8433996919673743,False,40,0.45223509242686144,2.4216620645806777,3.0804504033073825,True,50,0.582932738217812,2.8318995580978674,2.834431789761318,False,47,0.497,2.43,3.07,False,17
0,89,-0.19558300966981737,2.394092067902908,2.719461990944501,True,41,-0.043522748860294724,2.4801041337300984,2.777242343675649,True,40,0.5329790687122818,2.4238044525329294,3.0778282472531577,True,26,0.20588729989863322,2.7790033809201367,2.7791800510437947,False,47,0.497,2.43,3.07,False,17
0,90,0.30386345295400596,2.421021629871303,2.8962964139242144,True,15,0.397257709528863,2.4328360808327623,2.9745548765093157,True,13,0.5743918377647211,2.337487747670533,3.1868987378334297,True,34,0.4783454653671185,2.5212042528746568,2.963768365580669,True,39,0.497,2.43,3.07,False,17
